Date,Adj Close,Close,High,Low,Open,Volume
2020-11-11 00:00:00+00:00,5996.66162109375,6540.0,6565.0,6480.0,6540.0,131383500
2020-11-12 00:00:00+00:00,5886.63037109375,6420.0,6495.0,6405.0,6410.0,83082500
2020-11-13 00:00:00+00:00,5859.12255859375,6390.0,6450.0,6320.0,6420.0,82374500
2020-11-16 00:00:00+00:00,5941.646484375,6480.0,6485.0,6385.0,6485.0,54905000
2020-11-17 00:00:00+00:00,6005.830078125,6550.0,6565.0,6490.0,6500.0,119784000
2020-11-18 00:00:00+00:00,6024.1689453125,6570.0,6575.0,6540.0,6550.0,99789000
2020-11-19 00:00:00+00:00,6065.42919921875,6615.0,6640.0,6515.0,6520.0,147346500
2020-11-20 00:00:00+00:00,6051.67724609375,6600.0,6650.0,6550.0,6640.0,68468500
2020-11-23 00:00:00+00:00,6051.67724609375,6600.0,6610.0,6550.0,6600.0,75265500
2020-11-24 00:00:00+00:00,6019.583984375,6565.0,6600.0,6545.0,6600.0,72349500
2020-11-25 00:00:00+00:00,5877.4609375,6410.0,6585.0,6380.0,6580.0,170140500
2020-11-26 00:00:00+00:00,5941.646484375,6480.0,6490.0,6300.0,6350.0,64339000
2020-11-27 00:00:00+00:00,5854.5390625,6385.0,6490.0,6380.0,6480.0,87361500
2020-11-30 00:00:00+00:00,5689.49267578125,6205.0,6400.0,6135.0,6385.0,393091500
2020-12-01 00:00:00+00:00,5863.70751953125,6395.0,6435.0,6220.0,6220.0,114563500
2020-12-02 00:00:00+00:00,5914.138671875,6450.0,6485.0,6340.0,6460.0,93897500
2020-12-03 00:00:00+00:00,5923.3076171875,6460.0,6525.0,6425.0,6500.0,98210000
2020-12-04 00:00:00+00:00,5859.12255859375,6390.0,6465.0,6360.0,6460.0,64995500
2020-12-07 00:00:00+00:00,5978.322265625,6520.0,6580.0,6480.0,6500.0,96636000
2020-12-08 00:00:00+00:00,5950.8154296875,6490.0,6520.0,6425.0,6520.0,70561500
2020-12-10 00:00:00+00:00,6047.015625,6575.0,6600.0,6540.0,6590.0,151420500
2020-12-11 00:00:00+00:00,6194.1669921875,6735.0,6780.0,6595.0,6600.0,214160000
2020-12-14 00:00:00+00:00,6272.34130859375,6820.0,6830.0,6795.0,6800.0,179785500
2020-12-15 00:00:00+00:00,6244.75048828125,6790.0,6900.0,6605.0,6830.0,164024500
2020-12-16 00:00:00+00:00,6391.90234375,6950.0,6950.0,6840.0,6860.0,138674000
2020-12-17 00:00:00+00:00,6378.10693359375,6935.0,7000.0,6820.0,6965.0,91920000
2020-12-18 00:00:00+00:00,6253.94775390625,6800.0,6935.0,6755.0,6935.0,147238500
2020-12-21 00:00:00+00:00,6281.53857421875,6830.0,6890.0,6800.0,6890.0,93692500
2020-12-22 00:00:00+00:00,6175.7734375,6715.0,6820.0,6710.0,6740.0,61790500
2020-12-23 00:00:00+00:00,6184.970703125,6725.0,6905.0,6620.0,6905.0,76948000
2020-12-28 00:00:00+00:00,6235.5537109375,6780.0,6820.0,6660.0,6790.0,60234000
2020-12-29 00:00:00+00:00,6221.7578125,6765.0,6810.0,6740.0,6775.0,34212500
2020-12-30 00:00:00+00:00,6226.3564453125,6770.0,6800.0,6700.0,6800.0,52675500
2021-01-04 00:00:00+00:00,6286.13720703125,6835.0,6855.0,6720.0,6800.0,47937000
2021-01-05 00:00:00+00:00,6520.6591796875,7090.0,7090.0,6850.0,6860.0,104831000
2021-01-06 00:00:00+00:00,6387.3046875,6945.0,7075.0,6880.0,7050.0,89753500
2021-01-07 00:00:00+00:00,6405.69775390625,6965.0,7050.0,6910.0,7000.0,71360000
2021-01-08 00:00:00+00:00,6483.87255859375,7050.0,7080.0,6975.0,7035.0,75033500
2021-01-11 00:00:00+00:00,6755.18310546875,7345.0,7360.0,7145.0,7150.0,169034500
2021-01-12 00:00:00+00:00,6585.0390625,7160.0,7380.0,7160.0,7345.0,95235000
2021-01-13 00:00:00+00:00,6548.25048828125,7120.0,7275.0,7070.0,7245.0,76581500
2021-01-14 00:00:00+00:00,6456.28173828125,7020.0,7090.0,6995.0,7050.0,89319500
2021-01-15 00:00:00+00:00,6396.5009765625,6955.0,7100.0,6840.0,7095.0,89853500
2021-01-18 00:00:00+00:00,6548.25048828125,7120.0,7125.0,6845.0,6955.0,86343000
2021-01-19 00:00:00+00:00,6525.2587890625,7095.0,7120.0,7005.0,7120.0,73777000
2021-01-20 00:00:00+00:00,6525.2587890625,7095.0,7295.0,7070.0,7165.0,107216000
2021-01-21 00:00:00+00:00,6506.86474609375,7075.0,7300.0,7060.0,7280.0,66428000
2021-01-22 00:00:00+00:00,6511.46337890625,7080.0,7160.0,7075.0,7075.0,80829000
2021-01-25 00:00:00+00:00,6470.0771484375,7035.0,7200.0,7000.0,7200.0,76836500
2021-01-26 00:00:00+00:00,6272.34130859375,6820.0,7000.0,6820.0,6955.0,98658000
2021-01-27 00:00:00+00:00,6244.75048828125,6790.0,6930.0,6705.0,6820.0,97920000
2021-01-28 00:00:00+00:00,6345.91796875,6900.0,6925.0,6790.0,6790.0,104627000
2021-01-29 00:00:00+00:00,6217.1591796875,6760.0,7000.0,6760.0,6900.0,132762500
2021-02-01 00:00:00+00:00,6272.34130859375,6820.0,6920.0,6595.0,6760.0,113129000
2021-02-02 00:00:00+00:00,6253.94775390625,6800.0,6980.0,6800.0,6965.0,86741000
2021-02-03 00:00:00+00:00,6276.9404296875,6825.0,7000.0,6825.0,7000.0,67291000
2021-02-04 00:00:00+00:00,6304.53125,6855.0,7000.0,6835.0,6920.0,80950500
2021-02-05 00:00:00+00:00,6359.71337890625,6915.0,6950.0,6855.0,6870.0,51602000
2021-02-08 00:00:00+00:00,6364.3115234375,6920.0,7055.0,6880.0,7050.0,45604000
